"Document ID","Document Title",Categories,"Number of Views"
460205,"Medicare Part A Technical Eligibility Criteria","Administrative, Business Office, Tools, Tools and Templates",4
459119,"Part A Triple Check Form","Administrative, Business Office, Tools, Tools and Templates",4
35078,"HIPAA Review of Information System Activity Form","**HIPAA Security Quick Start Tool Kit, Administrative, HIPAA, HIPAA, Regulatory Agencies, Tools, Tools and Templates",4
33802,"Infection &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",4
44186,"How Antibiotic Resistance Spreads &#8211; Infographic","Antibiotic Stewardship, CDC, Regulatory Agencies",4
23823,"K271 &#8211; Discharge from Exits","K Tags, Life Safety Code Survey, Section 2: Means of Egress Requirements, Survey and Certification",4
39392,"Abuse Procedures Poster","Abuse, Abuse Prevention and Reporting, Staff Development, Tools and Templates",4
497929,"Candida Auris Training Presentation","Common Infections, Infection Control, Infection Control, Nursing, Staff Development, Tools and Templates, Training",4
461183,"Shelter-in-Place for Tornadoes","Emergency Preparedness, Natural Hazards, Safety, Tornadoes",4
43388,"End-Stage Renal Disease: A Care Solution","Care Solutions, Nursing, Tools and Templates",4
22496,"Administering Vaccines: Dose, Route, Site, and Needle Size","CDC, Immunization, Regulatory Agencies",4
531822,"FluView &#8211; Week Ending February 15, 2025","CDC, Influenza, Regulatory Agencies",4
470379,"Traumatic Brain Injury Training Presentation Handouts","Neurological Care, Staff Development, Tools and Templates",4
33648,"Nebraska &#8211; Assisted Living Regulations","Assisted Living State Regulations, Nebraska, State Regulations",4
519508,"Section N: Medications V1.19.1 (Effective October 1, 2024)","*RAI Manual, Chapter 3, MDS 3.0",4
450046,"High Risk Event Investigative Protocol","Administrative, High Risk Events, Risk Management, Tools and Templates",4
462022,"Security Management Plan Policy and Procedure Resources","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",4
37096,"Security Management Plan Template","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",4
38561,"Maintenance of Electronic Clinical Records Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",4
532207,"Ascent Consumer Products Inc. Recalls SinuCleanse Soft Tip Squeeze Bottle Nasal Wash System","FDA, Recalls and Notices, Regulatory Agencies",4
451494,"COVID-19 Focused Infection Control (FIC) Survey Protocol","1. LTC Survey Process Procedures, Long Term Care Survey Process, Survey and Certification",4
460321,"End of Life Care Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Social Services, Social Services, Staff Development, Tools and Templates, Training",4
38619,"Radiology and Other Diagnostic Services and Reporting Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
41158,"How Medicare Works with Other Insurance","CMS, Medicare, Patient Information, Regulatory Agencies",3
456796,"Admissions Sales/Marketing Representative Job Description","Administrative, Admissions, Human Resources, Job Descriptions, Tools and Templates",3
468064,"Head Lice and Scabies Exposure and Treatment Policy","Infection Control, Infection Control, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
39577,"Lesson 2: Recognizing Abuse","Abuse, Hand in Hand, Module 5, Staff Development, Tools and Templates",3
37775,"Bloodborne Pathogens Exposure Control Model Plan Template","3. Model Plans, Bloodborne Pathogens, OSHA, Safety",3
38597,"Physician, Physician Assistant, Nurse Practitioner or Clinical Nurse Specialist Lab Notification Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
24615,"Personal Funds Review: CMS-20063 Form","6. Triggered Tasks, Long Term Care Survey Process, Survey and Certification",3
470862,"CMS Resources to Address Health Equity Challenges","CMS, Medicare, Provider Guides, Regulatory Agencies",3
33727,"Communication &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",3
34895,"Vermont Statutes: Title 33 Human Services &#8211; Long Term Care Facilities","Long Term Care State Regulations, State Regulations, Vermont",3
27826,"F-744 Treatment and Services for Dementia","Appendix PP (F-Tags), Survey and Certification",3
512627,"Compliance with Reporting Allegations of Abuse Neglect Exploitation Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",3
512636,"Culture and Sensitivity Lab Results Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",3
40084,"Ear Drop Administration Validation Checklist","Competencies and Skills, Medication Management, Staff Development, Tools and Templates",3
459379,"Peripheral Intravenous Catheter Site Care Validation Checklist","Competencies and Skills, IV Care, Staff Development, Tools and Templates",3
512748,"Storage of Medication Requiring Refrigeration Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",3
512799,"Tracheostomy Validation Checklist","Competencies and Skills, Nursing, Respiratory Care, Staff Development, Supplemental Tools, Tools and Templates",3
512766,"Verifying Placement of Feeding Tube Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",3
506325,"Patient Portal Informed Consent Form","Administrative, Business Office, Tools, Tools and Templates",3
461310,"Request for Change in Health Coverage Form","Administrative, Business Office, Tools, Tools and Templates",3
40287,"Substance Use Disorders Training Presentation","Staff Development, Substance Use Disorders, Tools and Templates",3
455748,"*Compliance Hotline Risk Management Forms Packet","Administrative, Compliance Hotline, Risk Management, Tools and Templates",3
470293,"Customer Satisfaction Survey and Tracking Form","Administrative, Financial Solutions, Tools, Tools and Templates",3
456941,"Subpart I: Appendix D &#8211; Information for Employees Using Respirators When Not Required (PPE OSHA Regulations &#8211; Part 1910)","2. Regulations, OSHA, Personal Protective Equipment, Safety",3
456939,"Subpart I: Appendix C &#8211; Respirator Medical Evaluation Questionnaire (PPE OSHA Regulations &#8211; Part 1910)","2. Regulations, OSHA, Personal Protective Equipment, Safety",3
450530,"Michigan – Homes For The Aged Public Health Code Part 201 &#8211; General Provisions","Assisted Living State Regulations, Michigan, State Regulations",3
480755,"Humidifier Therapy Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",3
39576,"Lesson 1: What is Abuse?","Abuse, Hand in Hand, Module 5, Staff Development, Tools and Templates",3
36458,"24-Hour Patch Monitoring Form (8 Hour Shift)","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",3
28027,"F-695: Failure to Provide Suction Equipment for Tracheostomy Care (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",3
28049,"F-880: Preventing the Spread of Infection; Handling Soiled Linen (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",3
27770,"F-638 Quarterly Assessment At Least Every 3 Months","Appendix PP (F-Tags), Survey and Certification",3
34081,"Kansas &#8211; Statutes and Regulation for the Licensure and Operation of Nursing Facilities","Kansas, Long Term Care State Regulations, State Regulations",3
509486,"Tracheostomy Decannulation Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",3
34076,"Iowa &#8211; Inspections and Appeals: Title 481 (Chapters 22, 50, 52, 56, 58, 59, 61, and 73)","Iowa, Long Term Care State Regulations, State Regulations",3
470705,"Revisions to Medicare Part B Coverage of Pneumococcal Vaccinations Policy","Billing Guides and Information, Financial",3
33963,"Connecticut &#8211; Public Health Code Chapter IV (Section 19-13-D1 to Section 19-13-D44)","Connecticut, Long Term Care State Regulations, State Regulations",3
38494,"Care of Dentures Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
35165,"Guide for Developing a QAPI Plan","Element 2 - Governance and Leadership, Government Initiatives, QAPI",3
461864,"Multidrug Resistant Organisms Training Presentation Pre-Post-Test (Questions with Answer Key)","Common Infections, Competencies and Skills, Infection Control, Infection Control, Nursing, Staff Development, Tools and Templates, Training",3
40150,"Person Centered Care: Resident and Family Engagement Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Person Centered Care, Staff Development, Tools and Templates",3
33516,"Kansas &#8211; Statutes and Regulations for the Licensure and Operation of Assisted Living/Residential Health Care Facilities","Assisted Living State Regulations, Kansas, State Regulations",3
39437,"Active Shooter: What You Can Do (Student Manual)","Active Shooter, Staff Development, Tools and Templates",3
512669,"Maintaining a Sanitary Tray Line Validation Checklist","Competencies and Skills, Staff Development, Tools and Templates",3
13058,"Active Shooter Emergency Action Plan Guide","Active Shooter, Emergency Preparedness, Man Made Hazards, Safety",3
470373,"Traumatic Brain Injury &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",3
38488,"Care and Treatment of Bariatric Residents Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
24629,"Instructions if You Encounter Software or Hardware Issues During a LTCSP","8. Surveyor Worksheets, Long Term Care Survey Process, Survey and Certification",3
32033,"Services Provided: Resource Worksheet","Addressing Facility Resources, Administrative, Facility Assessment, Tools and Templates",3
33198,"PDPM Fact Sheet: MDS Changes","MDS 3.0, PDPM",3
39690,"Module 09: Interprofessional Team Roles and Responsibilities in Providing Person-Centered Care","Dementia, Staff Development, Tools and Templates",3
487362,"Think, Test, Treat TB Healthcare Providers","CDC, Regulatory Agencies, Tuberculosis",3
38608,"Promoting/Maintaining Resident Dignity Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
27685,"Antibiotic Stewardship Commitment Poster","Antibiotic Stewardship, CDC, Regulatory Agencies",3
23901,"K900 &#8211; Health Care Facilities Code &#8211; Other","K Tags, Life Safety Code Survey, Section 9: Health Care Facilities Code Requirements, Survey and Certification",3
23836,"K324 &#8211; Cooking Facilities","K Tags, Life Safety Code Survey, Section 3: Protection, Survey and Certification",3
525601,"OIG Nursing Facility Industry Segment-Specific Compliance Program Guidance","2024 Releases, OIG, Regulatory Agencies",3
38057,"Hazard Communication Program Policy","Maintenance, Maintenance, Physical Plant, Policies and Procedures, Policies and Procedures, Tools and Templates",3
37824,"Hearing and Vision Services Policy","Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",3
504521,"Administration of the BIMS in Writing Cue Cards","MDS 3.0, Supplemental Documents",3
466112,"Diabetes Mellitus Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Diabetes, Staff Development, Tools and Templates",3
500134,"Skilled Nursing Facility Probe and Educate Review","Billing Compliance, Financial, MAC",3
499918,"Podiatry Services Policy","Nursing, Nursing Processes, Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",3
27816,"F-727 RN 8 Hours / 7 Days / Week, Full Time DON","Appendix PP (F-Tags), Survey and Certification",3
528692,"Shared Clinical Decision-Making: Additional Doses of COVID-19 Vaccine for People Who Are Moderately or Severely Immunocompromised","CDC, Coronavirus, Immunization, Regulatory Agencies",3
38546,"Helping a Resident with Toileting Needs Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
516235,"Progress Toward Tuberculosis Elimination and Tuberculosis Program Performance — National Tuberculosis Indicators Project, 2016–2022","CDC, Regulatory Agencies, Tuberculosis",3
36731,"Resident Personal Belongings Policy","Administration, Policies and Procedures, Tools and Templates",3
28038,"F-761: Failure to Refrigerate Vaccine (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",3
487815,"Leadership Styles","Professional Development, Staff Development, Tools and Templates",3
444705,"Workplace Violence Prevention Assessment Checklist","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Forms and Tools, Forms and Tools, Safety, Tools and Templates",3
27799,"F-692 Nutrition and Hydration Status Maintenance","Appendix PP (F-Tags), Survey and Certification",3
471829,"Safety for Residents with Substance Use Disorder Policy","Administration, Policies and Procedures, Tools and Templates",3
38087,"Servicing Product Dispensers Policy","Maintenance, Maintenance, Physical Plant, Policies and Procedures, Policies and Procedures, Tools and Templates",3
444651,"Workplace Violence Prevention Program Policy","Administration, Policies and Procedures, Tools and Templates",3
456720,"Director of Nursing Job Description","Human Resources, Job Descriptions, Tools and Templates",3
502786,"New Minimum Data Set (MDS) 3.0 Frequency Report Website","MDS 3.0, Supplemental Documents",3
452131,"PBJ Data Submission Specifications Errata V4.00.1","Five Star Quality Rating System, Payroll Based Journal, Survey and Certification",3
459076,"West Virginia Code &#8211; Chapter 16B, Article 4. Nursing Homes","Long Term Care State Regulations, State Regulations, West Virginia",3
457621,"ASPEN 11.9.3 Release Notes","8. Surveyor Worksheets, Long Term Care Survey Process, Survey and Certification",3
524910,"Special Focus Facility List (October 2024)","Five Star Quality Rating System, Special Focus Facility, Survey and Certification",3
502164,"CDC Training Video: Enhanced Barrier Precautions in Nursing Homes","Infection Control, Prevention, Staff Development, Tools and Templates",3
27877,"F-850 Qualifications of Social Worker &gt;120 Beds","Appendix PP (F-Tags), Survey and Certification",3
27763,"F-623 Notice Requirements Before Transfer / Discharge","Appendix PP (F-Tags), Survey and Certification",3
27821,"F-732 Posted Nurse Staffing Information","Appendix PP (F-Tags), Survey and Certification",3
36990,"Portable Generator Policy","Administrative, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness, Emergency Preparedness Tools, Policies and Procedures, Policies and Procedures, Policies and Procedures, Safety, Tools and Templates",3
23930,"K929 &#8211; Gas Equipment &#8211; Precautions for Handling Oxygen Cylinders and Manifolds","K Tags, Life Safety Code Survey, Section 9: Health Care Facilities Code Requirements, Survey and Certification",3
12889,"Section 3 &#8211; Utility Reports","Casper User's Guide, MDS 3.0",3
462586,"Resident Photograph Consent Form","Forms and Checklists, Social Services, Tools and Templates",3
38370,"Hazardous Waste Pharmaceuticals Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
43704,"Medicare and Medicaid Programs; Reform of Requirements for Long-Term Care Facilities, Final Rule","2020 and Prior Federal Register, Federal Register, Survey and Certification",3
42632,"Interrupted Stay Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",3
525572,"December 2025 Activity Calendar","Activities, Activity Calendars, Tools and Templates",3
34692,"Device Disposal or Re-Use Form","**HIPAA Security Quick Start Tool Kit, Administrative, HIPAA, HIPAA, Regulatory Agencies, Tools, Tools and Templates",3
524076,"FY2024 Frequently Cited OSHA Standards: Nursing Care Facilities","5. Miscellaneous, General OSHA Information, OSHA, Safety",3
33385,"Indiana &#8211; Health Facilities; Licensing and Operational Standards","Assisted Living State Regulations, Indiana, State Regulations",3
37661,"Assessment and Management of Grief Policy","Policies and Procedures, Policies and Procedures, Social Services, Social Services, Tools and Templates",3
510139,"Leadership &#8211; Hiring Right","Professional Development, Staff Development, Tools and Templates",3
35193,"Worksheet to Create a Performance Improvement Project Charter","Element 4 - Performance Improvement Projects, Government Initiatives, QAPI",3
526989,"Medicare Could Save Billions With Comparable Access for Enrollees if Critical Access Hospital Payments for Swing-Bed Services Were Similar to Those of the Fee-for-Service Prospective Payment System","2025 Releases, OIG, Regulatory Agencies",3
466735,"Active Shooter: What You Can Do (Instructor Guide)","Active Shooter, Staff Development, Tools and Templates",3
27819,"F-730 Nurse Aide Perform Review &#8211; 12Hr / Year In-Service","Appendix PP (F-Tags), Survey and Certification",3
38472,"ADL Care of Dementia Unit Residents Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
501567,"ICD-10-CM Tabular Addenda FY24 &#8211; Errata","General Information, ICD Codes, ICD-10",3
460217,"Diagnosis Coding: Using the ICD-10-CM Job Aid","General Information, ICD Codes, ICD-10",3
36130,"Resident Safe Smoking Assessment","Forms and Checklists, Social Services, Tools and Templates",3
33285,"Arizona &#8211; Title 9: Chapter 10 &#8211; Department of Health Services, Health Care Institutions: Licensing (Article 8: Assisted Living Facility Regulations)","Arizona, Assisted Living State Regulations, State Regulations",3
450658,"ACE Inhibitors Medication Care Plan","High Risk Medication Care Plans, High Risk Medication Care Plans, MDS, Medication Management, Nursing, Tools and Templates",3
36860,"Password Setup and Administration IT Policy","Administrative, Compliance and Ethics, Compliance and Ethics, Information Technology, Policies and Procedures, Policies and Procedures, Tools and Templates",3
529928,"Breathing Circuit Kit Recall: Sentec/Percussionaire Removes VDR4 Phasitron Breathing Circuits","FDA, Recalls and Notices, Regulatory Agencies",3
529783,"Alvogen Issues Recall for One Lot of Fentanyl Transdermal System 25 mcg/h","FDA, Recalls and Notices, Regulatory Agencies",3
23002,"Certification: Employee&#8217;s Serious Health Condition Form","DOL / Human Resources, Family &amp; Medical Leave, Forms &amp; Posters, Regulatory Agencies, Wage and Hour",3
39602,"Cardiac Care: Assessment and Management Basics Training Presentation Handouts","Cardiac - Circulatory, Staff Development, Tools and Templates",3
27717,"F-553 Right to Participate in Planning Care","Appendix PP (F-Tags), Survey and Certification",3
27867,"F-838 Facility Assessment","Appendix PP (F-Tags), Survey and Certification",3
28015,"F-686: Failure to Assess Risk on Admission Resulting in Acquired Pressure Injury (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",3
524188,"Change of Medical Director Customizable Letter","Administrative, Business Office, Tools, Tools and Templates",3
456867,"Special Handling Disposal Precautions for Handling Hazardous Drugs Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",3
23009,"E-Verify Participation Poster","DOL / Human Resources, Form I-9, Regulatory Agencies, Wage and Hour",3
43488,"Restorative Communication &#8220;I&#8221; Care Plan","Care Plans, Care Plans, MDS, Nursing, Restorative Nursing Services, Tools and Templates",3
33381,"Illinois &#8211; Assisted Living State Regulations","Assisted Living State Regulations, Illinois, State Regulations",3
34859,"Blow The Whistle on Medicaid Fraud Poster","Compliance and Ethics, Government Initiatives, Guidance Documents",3
522320,"Infection Control for Respiratory Viruses &#8211; Infographic (English &amp; Spanish)","CDC, Coronavirus, Infection Control, Influenza, Regulatory Agencies",3
520759,"OSHA Fact Sheet &#8211; Safe Use of Extension Ladders","1. Fact Sheets, OSHA, Safety, Walking/Working Surfaces – Slips, Trips and Falls",3
36632,"Binding Arbitration Agreements Policy","Administration, Policies and Procedures, Tools and Templates",3
27743,"F-580 Notify of Changes (Injury/Decline/Room, Etc.)","Appendix PP (F-Tags), Survey and Certification",3
38367,"Handling of Hazardous Drugs Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
451595,"Injection Safety – Drug Diversion Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
36824,"Copyrights Policy","Administrative, Compliance and Ethics, Compliance and Ethics, Policies and Procedures, Policies and Procedures, Tools and Templates",3
35970,"Post Traumatic Stress Disorder Booklet","Clinical Staff Education, NIH, Regulatory Agencies",3
517831,"Floor Technician Assistant Job Description","Human Resources, Job Descriptions, Tools and Templates",3
33670,"Alteration in Skin Integrity &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",3
23063,"CDC NIOSH: Fundamentals of Total Worker Health Approaches","DOL / Human Resources, Human Resources, Regulatory Agencies, Total Worker Health",3
38440,"Timely Administration of Insulin Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
493958,"SNF MDS 3.0 RAI v1.18.11 Guidance Training Program Overview &#8211; Part 1: Presentation Slides","MDS, Staff Development, Tools and Templates",3
508635,"Total Parenteral Nutrition (TPN) Policy","Clinical, Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
501841,"SNF MDS 3.0 RAI v1.18.11 Guidance Training Program Overview &#8211; Supplemental Materials","MDS, Staff Development, Tools and Templates",3
38451,"Unused Medication Return Policy","Medication Management, Medication Management, Nursing, Nursing, Policies and Procedures, Policies and Procedures, Tools and Templates",3
34705,"New York &#8211; Medical Facilities: Minimum Standards (Title 10, Chapter V &#8211; Subchapter A)","Long Term Care State Regulations, New York, State Regulations",3
34730,"South Carolina &#8211; Standards for Licensing Nursing Homes (Regulation Number 61-17)","Long Term Care State Regulations, South Carolina, State Regulations",3
459248,"Risk For Injury Due To Hot Liquids / Water &#8220;I&#8221; Care Plan","Care Plans, Care Plans, Food and Nutrition Service, MDS, Tools and Templates",3
37111,"Breach Notification Policy","Administrative, HIPAA, HIPAA, Policies and Procedures, Policies and Procedures, Tools and Templates",3
458183,"Allergies &#8220;I&#8221; Care Plan","Care Plans, MDS, Tools and Templates",3
23965,"E0033 &#8211; Methods for Sharing Information","Appendix Z (E-Tags), Survey and Certification",3
23967,"E0035 &#8211; LTC and ICF/IID Family Notifications","Appendix Z (E-Tags), Survey and Certification",3
23971,"E0039 &#8211; Emergency Prep Testing Requirements","Appendix Z (E-Tags), Survey and Certification",3
39560,"Lesson 1: I Want to Go Home","Abuse, Hand in Hand, Module 3, Staff Development, Tools and Templates",3
39561,"Lesson 2: Actions and Reactions: Why?","Abuse, Hand in Hand, Module 3, Staff Development, Tools and Templates",3
39562,"Lesson 3: Actions and Reactions: Ways to Respond","Abuse, Hand in Hand, Module 3, Staff Development, Tools and Templates",3
39578,"Lesson 3: Signs of Abuse","Abuse, Hand in Hand, Module 5, Staff Development, Tools and Templates",3
39579,"Lesson 4: Actions and Reactions: Understanding How Abuse Happens","Abuse, Hand in Hand, Module 5, Staff Development, Tools and Templates",3
460196,"Diagnosis Coding: Using the ICD-10-CM (Video)","General Information, ICD Codes, ICD-10, MDS, Staff Development, Tools and Templates",3
456696,"Admissions Nurse Job Description","Administrative, Admissions, Human Resources, Job Descriptions, Tools and Templates",3
518904,"Electronic Staffing Data Submission Payroll-Based Journal (PBJ) FAQs July 2024","Five Star Quality Rating System, Payroll Based Journal, Survey and Certification",3
37990,"Workstation Use and Security IT Policy","Information Technology, Policies and Procedures, Tools and Templates",3
464206,"Resident Showers Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
470687,"SOM Chapter 5 &#8211; Complaint Procedures","Chapters, SOM – Chapter 5, State Operations Manual (SOM), Survey and Certification",3
37482,"Wage Garnishments &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",3
37470,"Time Clock &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",3
476671,"Instructions for the Interim LTCSP Initial Survey and Certification Process (Guidance for Surveyors)","1. LTC Survey Process Procedures, Long Term Care Survey Process, Survey and Certification",3
27715,"F-551 Rights Exercised by Representatives","Appendix PP (F-Tags), Survey and Certification",3
36837,"End of Month Medicare Part A Billing Meeting Policy","Administrative, Compliance and Ethics, Compliance and Ethics, Policies and Procedures, Policies and Procedures, Tools and Templates",3
519280,"Essential Healthcare Worker Letter","Administrative, Emergency Preparedness, Forms and Tools, Tools and Templates",3
37349,"Company Vehicles &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",3
37200,"Drinking Fountain Cleaning Policy","Environmental Services, Environmental Services, Policies and Procedures, Policies and Procedures, Tools and Templates",3
473280,"External Catheter for Female Urinary Incontinence Management Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",3
500939,"FY 2024 ICD-10-CM Official Guidelines for Coding and Reporting","Code Sets, ICD Codes, ICD-10",3
27768,"F-636 Comprehensive Assessments and Timing","Appendix PP (F-Tags), Survey and Certification",3
456597,"Transfer of Dangerous and Controlled Substances Form","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",3
34714,"Oklahoma &#8211; Long Term Care Facility Laws and Regulations","Long Term Care State Regulations, Oklahoma, State Regulations",3
27997,"F-610: Failure to Investigate Injury of Unknown Origin (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",3
38593,"Physician Visits and Physician Delegation Policy","Nursing, Nursing Processes, Policies and Procedures, Tools and Templates",3
38209,"Use of Support Surfaces Policy","Nursing, Nursing, Policies and Procedures, Policies and Procedures, Pressure Injuries, Tools and Templates, Wound Management",3
462592,"Workplace Violence Incident Report and Investigation Form","Administrative, High Risk Events, Risk Management, Tools and Templates",3
449117,"Pressure Injury Action Plan","Administrative, Pressure Injuries, Risk Management, Tools and Templates",3
451308,"Diabetes – Guiding Principles for Care Fact Sheet Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Diabetes, Staff Development, Tools and Templates",3
35055,"Binder Basics: Staff Development (Binder Spine)","Binder Basics, Program Development, Staff Development, Tools and Templates",3
462380,"Monthly SNF Executive Care and Financial Presentation","Administrative, Financial Solutions, Tools, Tools and Templates",3
514450,"Quality Measures Action Plan: Percentage of SS Residents Who Were Hospitalized After a Nursing Home Admission","Administrative, Quality Measures, Tools and Templates",3
450055,"High Risk Event Investigative Summary","Administrative, High Risk Events, Risk Management, Tools and Templates",3
449129,"*Pressure Injury Risk Management Forms Packet","Administrative, Pressure Injuries, Risk Management, Tools and Templates",3
449108,"New or Worsened Pressure Injury Chart Audit","Administrative, Pressure Injuries, Risk Management, Tools and Templates",3
449126,"Pressure Injury Risk Management Practice Guideline","Administrative, Pressure Injuries, Risk Management, Tools and Templates",3
33607,"Aspiration Risk &#8220;I&#8221; Care Plan","Care Plans, Care Plans, Food and Nutrition Service, MDS, Tools and Templates",3
33619,"Dysphagia &#8220;I&#8221; Care Plan","Care Plans, Care Plans, Food and Nutrition Service, MDS, Tools and Templates",3
37399,"Information Access Management &#8211; HR Policy","Human Resources, Human Resources, Policies and Procedures, Policies and Procedures, Tools and Templates",3
37646,"Quality Reporting: Drug Regimen Review Policy","MDS, Minimum Data Set (MDS), Policies and Procedures, Policies and Procedures, Tools and Templates",3
36455,"24-Hour Patch Monitoring Form (12 Hour Shift)","Forms for Medication Management, Medication Management, Nursing, Tools and Templates",3
39816,Dementia,"Disease Processes – Quick Look, Staff Development, Tools and Templates",3
39846,"Heart Failure","Disease Processes – Quick Look, Staff Development, Tools and Templates",3
33654,"New Jersey &#8211; Regulations for Assisted Living Residences, Comprehensive Personal Care Homes, and Assisted Living Programs","Assisted Living State Regulations, New Jersey, State Regulations",3
33305,"Colorado &#8211; Regulations for Assisted Living Residences: Chapter 7","Assisted Living State Regulations, Colorado, State Regulations",3
27795,"F-688 Increase / Prevent Decrease in ROM / Mobility","Appendix PP (F-Tags), Survey and Certification",3
42635,"Reporting of Therapy Services Policy","Policies and Procedures, Therapy, Tools and Templates",3
516100,"Sharps Injury Log","Forms and Checklists, Infection Control, Nursing, Tools and Templates",3
28012,"F-679: Lack of Structured Activities on Weekends (Plan of Correction Packet)","Plan of Correction Packets, Survey Management, Tools and Templates",3
27824,"F-742 Treatment and Services for Mental / Psychosocial Concerns","Appendix PP (F-Tags), Survey and Certification",3
33896,"Restorative Bed Mobility &#8220;I&#8221; Care Plan","Care Plans, Care Plans, MDS, Nursing, Restorative Nursing Services, Tools and Templates",3
33903,"Restorative Dressing / Grooming &#8220;I&#8221; Care Plan","Care Plans, Care Plans, MDS, Nursing, Restorative Nursing Services, Tools and Templates",3
43491,"Restorative Amputation / Prosthesis &#8220;I&#8221; Care Plan","Care Plans, Care Plans, MDS, Nursing, Restorative Nursing Services, Tools and Templates",3
450172,"Nutrition/Hydration: Interventions to Maintain Nutritional Status Training Handouts","Nutrition and Hydration, Staff Development, Tools and Templates",3
450174,"Nutrition/Hydration &#8211; Non Licensed Staff Training Presentation Pre-Post Test (Questions with Answer Key)","Competencies and Skills, Nutrition and Hydration, Staff Development, Tools and Templates",3
37939,"Employee Email IT Policy","Information Technology, Policies and Procedures, Tools and Templates",3
458940,"Peritoneal Dialysis Policy","Clinical, Nursing, Policies and Procedures, Tools and Templates",3
38047,"Sprinkler System Policy","Life Safety Code, Life Safety Code, Maintenance, Policies and Procedures, Policies and Procedures, Tools and Templates",3
38041,"Reporting Fire Alarm System Failure Policy","Life Safety Code, Life Safety Code, Maintenance, Policies and Procedures, Policies and Procedures, Tools and Templates",3
462197,"Sample Psychopharmacologic Interdisciplinary Medication Review Form","Dementia/ Anti Psychotic Drugs, Government Initiatives",3
450604,"DREAM Toolkit Resident Preferences Tool","CMP Reinvestment Program, DREAM Toolkit, Government Initiatives",3
506589,"Weighted Blanket Policy","Nursing, Nursing Processes, Policies and Procedures, Therapy, Tools and Templates",3
27956,"Focused Dementia Care Survey: Facility-Specific Questions","Dementia/ Anti Psychotic Drugs, Government Initiatives",3
